d,res,nq,all,init,qse,smt
3,false,9,0.059442996978759766,0.00030112266540527344,0.05914187431335449,0.014503955841064453
5,false,25,0.05357480049133301,0.0002739429473876953,0.05330085754394531,0.015237092971801758
7,false,49,0.056082963943481445,0.00029587745666503906,0.055787086486816406,0.015233039855957031
9,false,81,0.0684359073638916,0.0006070137023925781,0.06782889366149902,0.016657114028930664
11,false,121,0.05691885948181152,0.00031185150146484375,0.05660700798034668,0.014197111129760742
13,false,169,0.056056976318359375,0.00032711029052734375,0.05572986602783203,0.014667987823486328
15,false,225,0.05444002151489258,0.00034308433532714844,0.05409693717956543,0.0143890380859375
17,false,289,0.06128096580505371,0.000823974609375,0.06045699119567871,0.016590118408203125
19,false,361,0.05796504020690918,0.00043582916259765625,0.05752921104431152,0.015004873275756836
21,false,441,0.056741952896118164,0.0003719329833984375,0.05637001991271973,0.01402902603149414
23,false,529,0.054821014404296875,0.0003631114959716797,0.054457902908325195,0.015072107315063477
25,false,625,0.055872201919555664,0.0003631114959716797,0.055509090423583984,0.016231775283813477
27,false,729,0.056524038314819336,0.00030803680419921875,0.05621600151062012,0.015395164489746094
29,false,841,0.056231021881103516,0.00034999847412109375,0.05588102340698242,0.016190052032470703
